name,intelligence,strength,speed,durability,power,combat,full-name,aliases,image
Ant-Man,100,18,23,28,32,32,Hank Pym,Hank PymDoctor PymAnt-ManGoliathYellowjacketWaspEarth's Scientist Supreme,https://www.superherodb.com/pictures2/portraits/10/100/857.jpg
Ant-Man II,75,18,17,40,53,30,Scott Lang,MyrmidonScott Edward Harris Lang,https://www.superherodb.com/pictures2/portraits/10/100/166.jpg
Anti-Monitor,88,100,50,100,100,90,,MonitorMobius,https://www.superherodb.com/pictures2/portraits/10/100/1292.jpg
Anti-Spawn,null,58,null,null,null,null,Jason Wynn,Redeemer,https://www.superherodb.com/pictures2/portraits/10/100/1071.jpg
Anti-Venom,75,60,65,90,96,84,Eddie Brock,EddieEdwin BrockVenomLethal ProtectorWhite Venom998th,https://www.superherodb.com/pictures2/portraits/10/100/1485.jpg
Apocalypse,100,100,33,100,100,60,En Sabah Nur,The Eternal Onethe High LordSetHuitxilopochtiSauruKali-Ma,https://www.superherodb.com/pictures2/portraits/10/100/852.jpg
Aquababy,10,16,12,14,37,14,"Arthur Curry, Jr.",-,https://www.superherodb.com/pictures2/portraits/10/100/1389.jpg
Aqualad,63,44,42,75,89,60,Garth,-,https://www.superherodb.com/pictures2/portraits/10/100/1395.jpg
Aquaman,81,85,79,80,100,80,Orin,Dweller in the DepthsSwimmerWaterbearerMental ManAquaboyWater Wraith,https://www.superherodb.com/pictures2/portraits/10/100/634.jpg
Arachne,50,48,50,70,71,70,Julia Carpenter,Spider-WomanMadame Web,https://www.superherodb.com/pictures2/portraits/10/100/882.jpg
Archangel,63,13,58,64,35,42,Warren Kenneth Worthington III,WarDark AngelDeathAvenging Angel,https://www.superherodb.com/pictures2/portraits/10/100/838.jpg
Arclight,38,63,23,42,52,70,Philippa Sontag,-,https://www.superherodb.com/pictures2/portraits/10/100/832.jpg
Ardina,63,100,100,80,100,25,Ardina,-,https://www.superherodb.com/pictures2/portraits/10/100/10132.jpg
Ares,75,82,35,80,84,101,,God of WarMister TalonMarsWarhawk,https://www.superherodb.com/pictures2/portraits/10/100/1118.jpg
Ariel,50,10,12,14,94,28,Ariel,-,https://www.superherodb.com/pictures2/portraits/10/100/1348.jpg
Armor,50,63,12,80,55,54,Hisako Ichiki,X-GirlKid,https://www.superherodb.com/pictures2/portraits/10/100/1347.jpg
Arsenal,null,54,null,null,null,null,"Roy William Harper, Jr.",-,https://www.superherodb.com/pictures2/portraits/10/100/1014.jpg
Astro Boy,null,90,null,null,null,null,Atom,-,https://www.superherodb.com/pictures2/portraits/10/100/1159.jpg
Atlas,63,80,25,100,98,50,Erik Josten,Power ManSmugglerGoliathShatterfistIntruder from BeyondEdward Jantzen,https://www.superherodb.com/pictures2/portraits/10/100/878.jpg
Atlas,63,100,42,100,27,80,,Atlas the GreatAtlas the Untamed,https://www.superherodb.com/pictures2/portraits/10/100/10838.jpg
Atom,null,null,null,null,null,null,Albert Pratt,Little Supermanthe Mighty Mite,https://www.superherodb.com/pictures2/portraits/10/100/934.jpg
Atom,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1379.jpg
Atom Girl,38,10,23,28,38,42,Salu Digby,Shrinking Violet,https://www.superherodb.com/pictures2/portraits/10/100/1180.jpg
Atom II,88,10,33,45,40,60,Ray Palmer,The Mighty Mitethe Tiny Titanthe World's Smallest Hero,https://www.superherodb.com/pictures2/portraits/10/100/938.jpg
Atom III,null,null,null,null,null,null,Adam Cray,-,https://www.superherodb.com/pictures2/portraits/10/100/939.jpg
Atom IV,null,null,null,null,null,null,Ryan Choi,-,https://www.superherodb.com/pictures2/portraits/10/100/940.jpg
Aurora,63,10,96,60,74,56,Jeanne-Marie Beaubier,Sister Beaubier,https://www.superherodb.com/pictures2/portraits/10/100/1289.jpg
Azazel,50,11,47,95,100,80,,SemihazahDumaKerielMastemaBeliarGadreelBeelzebubSatan,https://www.superherodb.com/pictures2/portraits/10/100/1481.jpg
Azrael,63,18,17,20,35,80,Michael Washington Lane,Bat-Devil; Bat-Ghost,https://www.superherodb.com/pictures2/portraits/10/100/1532.jpg
Aztar,null,98,null,null,null,null,Aztar,Spirit of Vengeance,https://www.superherodb.com/pictures2/portraits/10/100/1012.jpg
Bane,88,38,23,56,51,95,,-,https://www.superherodb.com/pictures2/portraits/10/100/637.jpg
Banshee,50,10,58,40,63,70,Sean Cassidy,Death,https://www.superherodb.com/pictures2/portraits/10/100/26.jpg
Bantam,25,53,23,54,21,56,Roberto Velasquez,-,https://www.superherodb.com/pictures2/portraits/10/100/229.jpg
Batgirl,88,11,33,40,34,90,Barbara Gordon,OracleBluebelle,https://www.superherodb.com/pictures2/portraits/10/100/1111.jpg
Batgirl,null,27,null,null,null,null,Mary Elizabeth Kane,Bette KaneBat-Girl,https://www.superherodb.com/pictures2/portraits/10/100/638.jpg
Batgirl III,null,43,null,null,null,null,Helena Rosa Bertinelli,-,https://www.superherodb.com/pictures2/portraits/10/100/1112.jpg
Batgirl IV,69,12,27,56,46,100,Cassandra Cain,"Kasumivarious mundane persona,",https://www.superherodb.com/pictures2/portraits/10/100/1113.jpg
Batgirl V,null,null,null,null,null,null,Charlotte Gage-Radcliffe,-,https://www.superherodb.com/pictures2/portraits/10/100/1115.jpg
Batgirl VI,75,10,23,28,22,80,Stephanie Brown,StephRobinMarion ToddSpoiler,https://www.superherodb.com/pictures2/portraits/10/100/1398.jpg
Batman,81,40,29,55,63,90,Terry McGinnis,Batman IIThe Tomorrow KnightThe second Dark KnightThe Dark Knight of TomorrowBatman Beyond,https://www.superherodb.com/pictures2/portraits/10/100/10441.jpg
Batman,100,26,27,50,47,100,Bruce Wayne,InsiderMatches Malone,https://www.superherodb.com/pictures2/portraits/10/100/639.jpg
Batman II,88,11,33,28,36,100,Dick Grayson,Dick Grayson,https://www.superherodb.com/pictures2/portraits/10/100/1496.jpg
Battlestar,50,53,35,74,48,74,Lemar Hoskins,Bucky,https://www.superherodb.com/pictures2/portraits/10/100/231.jpg
Batwoman V,81,8,29,25,27,80,Katherine Rebecca Kane,-,https://www.superherodb.com/pictures2/portraits/10/100/10234.jpg
Beak,null,null,null,null,null,null,Barnell Bohusk,Blackwing,https://www.superherodb.com/pictures2/portraits/10/100/232.jpg
Beast,94,48,38,60,43,85,Henry Philip McCoy,Dr. McCoyHankoKreatureMutate #666Magilla GorillaGolden Armed Boy,https://www.superherodb.com/pictures2/portraits/10/100/27.jpg
Beast Boy,50,28,50,70,79,40,Garfield Mark Logan,ChangelingBeast-BratGreen JeansSalad-headSproutTorkCraig Logan,https://www.superherodb.com/pictures2/portraits/10/100/640.jpg
Beetle,null,54,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1122.jpg
Ben 10,10,7,8,10,90,40,Benjamin Kirby Tennyson,Ben Ten,https://www.superherodb.com/pictures2/portraits/10/100/1365.jpg
Beta Ray Bill,63,80,35,95,100,84,Beta Ray Bill (translation of his Korbinite name),Beta Ray ThorSimon Walters,https://www.superherodb.com/pictures2/portraits/10/100/28.jpg
Beyonder,100,100,100,100,100,84,,AtaxiThe Beyond RealmFrankGoblin ForceGoblin KingGoblyn KingGoblin QueenThe One From BeyondGodKosmosMaker,https://www.superherodb.com/pictures2/portraits/10/100/1293.jpg
Big Barda,88,100,79,100,100,100,Barda Free,Bardathe Strongest Woman in the World,https://www.superherodb.com/pictures2/portraits/10/100/1169.jpg
Big Daddy,38,10,12,32,22,64,Damon Macready,-,https://www.superherodb.com/pictures2/portraits/10/100/1338.jpg
Big Man,75,12,23,28,19,70,Frederick Foswell,Patch,https://www.superherodb.com/pictures2/portraits/10/100/1038.jpg
Bill Harken,63,36,33,60,27,40,,-,https://www.superherodb.com/pictures2/portraits/10/100/1527.jpg
Billy Kincaid,null,null,null,null,null,null,Billy Kincaid,-,https://www.superherodb.com/pictures2/portraits/10/100/1072.jpg
Binary,null,null,null,null,null,null,Carol Danvers,Ms. MarvelBinary,https://www.superherodb.com/pictures2/portraits/10/100/30.jpg
Bionic Woman,56,37,33,40,20,40,Jamie Sommers,Clarissa Whyte,https://www.superherodb.com/pictures2/portraits/10/100/10648.jpg
Bird-Brain,25,10,35,28,21,42,,Bird-Boy,https://www.superherodb.com/pictures2/portraits/10/100/240.jpg
Bird-Man,null,null,null,null,null,null,Henry Hawk,-,https://www.superherodb.com/pictures2/portraits/10/100/1503.jpg
Bird-Man II,null,null,null,null,null,null,Achille DiBacco,-,https://www.superherodb.com/pictures2/portraits/10/100/1504.jpg
Birdman,null,35,null,null,null,null,Ray Randal,Bird-ManHarvey BirdmanRay RandalHarvey Birdman Attorney at LawHarryHenryBirdbathBootyliciuos,https://www.superherodb.com/pictures2/portraits/10/100/1506.jpg
Bishop,63,14,23,75,100,65,Lucas Bishop,Archbishop,https://www.superherodb.com/pictures2/portraits/10/100/31.jpg
Bizarro,38,95,100,100,100,85,Bizarro,-,https://www.superherodb.com/pictures2/portraits/10/100/642.jpg
Black Abbott,null,null,null,null,null,null,,Lord Abbott,https://www.superherodb.com/pictures2/portraits/10/100/1049.jpg
Black Adam,88,100,92,100,100,56,Teth-Adam,Hassan BariTheo AdamMighty AdamKhem-Adam,https://www.superherodb.com/pictures2/portraits/10/100/643.jpg
Black Bolt,75,67,100,84,100,56,Blackagar Boltagon,-,https://www.superherodb.com/pictures2/portraits/10/100/243.jpg
Black Canary,63,8,33,20,52,80,Laurel Lance,Dinah Laurel Lance Queen; Dinah Laurel Lance-Windrow,https://www.superherodb.com/pictures2/portraits/10/100/1005.jpg
Black Canary,63,8,33,15,45,80,Dinah Drake Lance,-,https://www.superherodb.com/pictures2/portraits/10/100/644.jpg
Black Cat,75,16,33,10,23,70,Felicia Hardy,Felicity Harmon,https://www.superherodb.com/pictures2/portraits/10/100/32.jpg
Black Flash,44,10,100,80,100,30,,Barry AllenFlashbackSlow LightningBlack RacerDeath FlashGod of Death,https://www.superherodb.com/pictures2/portraits/10/100/10831.jpg
Black Goliath,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/245.jpg
Black Knight III,63,10,8,70,43,70,Dane Whitman,The PendragonGann JosinEobar Garrington,https://www.superherodb.com/pictures2/portraits/10/100/246.jpg
Black Lightning,50,11,53,28,70,75,Jefferson Pierce,-,https://www.superherodb.com/pictures2/portraits/10/100/1128.jpg
Black Mamba,75,10,35,42,88,65,Tanya Sealy,Tanya Sweet,https://www.superherodb.com/pictures2/portraits/10/100/1106.jpg
Black Manta,75,28,50,60,76,85,David,Devil RayScourge of the Seven SeasYellow Lantern,https://www.superherodb.com/pictures2/portraits/10/100/10546.jpg
Black Panther,88,16,30,60,41,100,T'Challa,Mr. OkonkwoThe Man Without FearLuke CharlesBlack Leopardthe ClientCoal Tigerhas impersonated Daredevil and others on occasion,https://www.superherodb.com/pictures2/portraits/10/100/247.jpg
Black Widow,75,13,33,30,36,100,Natasha Romanoff,"Yelena BelovaNatasha RomanoffNatashaTashaMadame NatashaNancy RushmanLaura MatthersNadine Roman""Oktober""Black PearlEbon Flame",https://www.superherodb.com/pictures2/portraits/10/100/248.jpg
Black Widow II,null,48,null,null,null,null,Yelena Belova,-,https://www.superherodb.com/pictures2/portraits/10/100/618.jpg
Blackout,63,32,45,80,45,65,,-,https://www.superherodb.com/pictures2/portraits/10/100/1507.jpg
Blackwing,38,10,35,32,20,56,Joseph Manfredi,BlackwingJoe ManfrediJoe SilvermaneGuiseppi Manfredi,https://www.superherodb.com/pictures2/portraits/10/100/249.jpg
Blackwulf,50,28,8,30,69,25,Lucian,PelopsBlack Wolf,https://www.superherodb.com/pictures2/portraits/10/100/1508.jpg
Blade,63,28,38,50,40,90,Eric Brooks,SwitchbladeFrank BladeDaywalker,https://www.superherodb.com/pictures2/portraits/10/100/33.jpg
Blaquesmith,null,null,null,null,null,null,-,-,https://www.superherodb.com/pictures2/portraits/10/100/34.jpg
Bling!,69,14,12,90,52,28,Roxanne Washington,-,https://www.superherodb.com/pictures2/portraits/10/100/1349.jpg
Blink,50,8,20,28,77,64,Clarice Ferguson,-,https://www.superherodb.com/pictures2/portraits/10/100/35.jpg
Blizzard,null,null,null,null,null,null,Gregor Shapanka,Jack Frost,https://www.superherodb.com/pictures2/portraits/10/100/899.jpg
Blizzard,null,72,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/898.jpg
Blizzard II,38,10,27,42,47,56,Donald Gill,-,https://www.superherodb.com/pictures2/portraits/10/100/619.jpg
Blob,10,83,23,95,28,72,Frederick J. Dukes,-,https://www.superherodb.com/pictures2/portraits/10/100/1119.jpg
Bloodaxe,63,80,33,80,100,84,Jackie Lukus,-,https://www.superherodb.com/pictures2/portraits/10/100/1509.jpg
Bloodhawk,50,10,50,80,80,64,Lemuel Krug,Lemuel Halcon,https://www.superherodb.com/pictures2/portraits/10/100/1510.jpg
Bloodwraith,null,72,null,null,null,null,Sean Dolan,Black WraithBlood Wraith,https://www.superherodb.com/pictures2/portraits/10/100/186.jpg
Blue Beetle,null,null,null,null,null,null,Daniel Garrett,Daniel Garret (spelling variation),https://www.superherodb.com/pictures2/portraits/10/100/646.jpg
Blue Beetle,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1010.jpg
Blue Beetle II,null,45,null,null,null,null,Theodore Kord,-,https://www.superherodb.com/pictures2/portraits/10/100/1008.jpg
Blue Beetle III,50,34,58,80,100,30,Jaime Reyes,Scooter,https://www.superherodb.com/pictures2/portraits/10/100/1009.jpg
Boba Fett,63,10,38,36,68,70,,TeffSava Brek MadakJaster MereelMandaloreMand'alor,https://www.superherodb.com/pictures2/portraits/10/100/10467.jpg
Bolt,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1340.jpg
Bomb Queen,null,73,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1116.jpg
Boom-Boom,38,10,12,42,57,64,Tabitha Smith,Time BombBoomerMeltdownTabbyFirecrackerMutate #35Nancy Forrester,https://www.superherodb.com/pictures2/portraits/10/100/400.jpg
Boomer,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/259.jpg
Booster Gold,69,85,42,70,100,40,Michael Jon Carter,BharjwarjBloodspotBoosterooBoosterthe Boy WonderBusterDeathstrokeGoldstarGreatest Hero You've Never Heard OfGuardian of the MultiverseJesus AlvarezKidKiller MothThe KingLoser GoldMajor IdiotMan of GoldMichael CarterBlac,https://www.superherodb.com/pictures2/portraits/10/100/647.jpg
Box,null,null,null,null,null,null,Roger Bochs,Omega,https://www.superherodb.com/pictures2/portraits/10/100/864.jpg
Box III,null,null,null,null,null,null,Dr. Walter Langowski,Box IIIWanda,https://www.superherodb.com/pictures2/portraits/10/100/37.jpg
Box IV,50,75,23,28,11,56,Madison Jeffries,GeminiJack-In-The-Box,https://www.superherodb.com/pictures2/portraits/10/100/38.jpg
Brainiac,100,95,63,90,60,75,Vril Dox,Milton Fine,https://www.superherodb.com/pictures2/portraits/10/100/648.jpg
Brainiac 5,100,10,23,28,60,32,Querl Dox,-,https://www.superherodb.com/pictures2/portraits/10/100/1183.jpg
Brother Voodoo,null,65,null,null,null,null,Jericho Drumm,Doctor VoodooSorcerer Supreme,https://www.superherodb.com/pictures2/portraits/10/100/39.jpg
Brundlefly,69,32,25,40,27,15,Seth Brundle,The Fly,https://www.superherodb.com/pictures2/portraits/10/100/10642.jpg
Buffy,63,28,42,70,48,60,Buffy Anne Summers,AnneThe Chosen OneThe Vampire SlayerThe SlayerBuffBThe BuffsterBelindaJoan,https://www.superherodb.com/pictures2/portraits/10/100/10430.jpg
Bullseye,50,11,25,70,20,70,Lester,Benjamin PoindexterDaredevilPunisherBullseyeHawkeyepitcher,https://www.superherodb.com/pictures2/portraits/10/100/624.jpg
Bumblebee,63,28,25,10,47,35,Karen Beecher,-,https://www.superherodb.com/pictures2/portraits/10/100/1542.jpg
Bumbleboy,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1346.jpg
Bushido,38,10,8,10,19,70,Ryuko Orsono,-,https://www.superherodb.com/pictures2/portraits/10/100/1541.jpg
Cable,88,48,23,56,100,80,Nathan Summers,Chosen OneSoldier XNathan DayspringAskani'sonNathan Dayspring SummersNathan WintersThe TravellerThe Saviour,https://www.superherodb.com/pictures2/portraits/10/100/40.jpg
Callisto,63,53,23,42,52,85,Callisto,-,https://www.superherodb.com/pictures2/portraits/10/100/271.jpg
Cameron Hicks,50,10,23,28,51,70,,-,https://www.superherodb.com/pictures2/portraits/10/100/1528.jpg
Cannonball,50,28,67,99,94,56,Samuel Zachery Guthrie,Formerly Samson GuthrySam GuthrieJet-Ass,https://www.superherodb.com/pictures2/portraits/10/100/272.jpg
Captain America,69,19,38,55,60,100,Steve Rogers,NomadThe Captain,https://www.superherodb.com/pictures2/portraits/10/100/274.jpg
Captain Atom,81,93,83,90,100,80,Nathaniel Adam,MonarchAllen AdamCameron Scott,https://www.superherodb.com/pictures2/portraits/10/100/1007.jpg
Captain Britain,75,77,50,60,31,80,Brian Braddock,BritannicBlack BishopJungle ManKing of OtherworldMerlinson,https://www.superherodb.com/pictures2/portraits/10/100/276.jpg
Captain Cold,50,10,17,20,28,20,Leonard Snart,Citizen ColdKid KoldLen SnartLeonard SnartLeonards WyntersThe Man Who Mastered Absolute Zero,https://www.superherodb.com/pictures2/portraits/10/100/653.jpg
Captain Epic,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/3.jpg
Captain Hindsight,25,10,83,30,10,20,Jack Brolin,-,https://www.superherodb.com/pictures2/portraits/10/100/10399.jpg
Captain Mar-vell,null,80,null,null,null,null,Mar-Vell,Captain MarvelDr. Walter Lawson,https://www.superherodb.com/pictures2/portraits/10/100/654.jpg
Captain Marvel,88,100,88,95,100,75,Billy Batson,The World's Mightiest MortalThe Big Red CheeseCaptain ThunderShazam,https://www.superherodb.com/pictures2/portraits/10/100/278.jpg
Captain Marvel,84,88,71,95,100,90,Carol Danvers,AceBinaryLady MarvelWarbirdothers used during her espionage career,https://www.superherodb.com/pictures2/portraits/10/100/103.jpg
Captain Marvel II,75,81,27,90,34,56,Frederick Christopher Freeman,Captain Marvel Jr.CM3,https://www.superherodb.com/pictures2/portraits/10/100/279.jpg
Captain Midnight,null,null,null,null,null,null,,Major MidnightRedSpace-SovereignThe Skyway SovereignThe Sky-LordThe Lord of the OverworldThe Space SentinelJim Albright,https://www.superherodb.com/pictures2/portraits/10/100/10443.jpg
Captain Planet,50,88,75,80,100,60,,The CaptainCPPlanet,https://www.superherodb.com/pictures2/portraits/10/100/1285.jpg
Captain Universe,null,92,null,null,null,null,,Guardian of EternityThe Avenging AngelThe Hero That Could Be You,https://www.superherodb.com/pictures2/portraits/10/100/855.jpg
Carnage,63,63,70,84,88,90,Cletus Kasady,Mass Carnage999th,https://www.superherodb.com/pictures2/portraits/10/100/187.jpg
Cat,null,90,null,null,null,null,Shirlee Bryant,-,https://www.superherodb.com/pictures2/portraits/10/100/904.jpg
Cat II,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/903.jpg
Catwoman,69,11,33,28,27,85,Selina Kyle,The CatIrena DubrovnaElva BarrSadie KelowskiMadame ModerneMarguerite Tone,https://www.superherodb.com/pictures2/portraits/10/100/659.jpg
Cecilia Reyes,null,null,null,null,null,null,Dr. Cecilia Reyes,-,https://www.superherodb.com/pictures2/portraits/10/100/43.jpg
Century,88,80,53,64,100,100,,-,https://www.superherodb.com/pictures2/portraits/10/100/1511.jpg
Cerebra,null,57,null,null,null,null,Shakti Haddad,-,https://www.superherodb.com/pictures2/portraits/10/100/1512.jpg
Chamber,50,10,20,80,57,64,Jonothon Evan Starsmore,DecibelJonoJono Hex,https://www.superherodb.com/pictures2/portraits/10/100/44.jpg
Chameleon,88,10,12,28,28,28,Dmitri Anatoly Smerdyakov Kravinoff,Dr. Ashley KafkaDr. TurnerJ. Jonah JamesonTorpedoRick JonesDr. Henry PymPeter ParkerCaptain George StacyDr. Robert Bruce BannerGeneral,https://www.superherodb.com/pictures2/portraits/10/100/660.jpg
Changeling,63,10,23,42,64,64,Kevin Sidney,Professor XProfessor Charles Xavier,https://www.superherodb.com/pictures2/portraits/10/100/1107.jpg
Cheetah,38,8,42,20,32,70,Priscilla Rich,Kay CarltonThe Cheetah,https://www.superherodb.com/pictures2/portraits/10/100/661.jpg
Cheetah II,38,20,42,20,39,60,Deborah Domaine,DebbiThe Cheetah,https://www.superherodb.com/pictures2/portraits/10/100/925.jpg
Cheetah III,88,100,88,80,78,95,Barbara Minerva,Barbara MinervaBride of UrzkartagaPriscilla RichDeborah DomaineSabrina Ballesteros,https://www.superherodb.com/pictures2/portraits/10/100/926.jpg
Chromos,null,null,null,null,null,null,Bernard Embers,-,https://www.superherodb.com/pictures2/portraits/10/100/1001.jpg
Chuck Norris,50,80,47,56,42,99,Carlos Ray Norris,Chuck,https://www.superherodb.com/pictures2/portraits/10/100/954.jpg
Citizen Steel,50,95,33,100,23,60,Nathan Heywood,BuckeyeUncle NateUncle Nathan,https://www.superherodb.com/pictures2/portraits/10/100/10661.jpg
Claire Bennet,38,9,12,100,90,28,Claire Bennet,Vivian LewisClaire Butler,https://www.superherodb.com/pictures2/portraits/10/100/941.jpg
Clea,null,39,null,null,null,null,Clea,-,https://www.superherodb.com/pictures2/portraits/10/100/45.jpg
Cloak,63,10,47,64,100,56,Tyrone Johnson,-,https://www.superherodb.com/pictures2/portraits/10/100/46.jpg
Clock King,75,10,17,10,7,40,William Tockman,Tempus Fugit,https://www.superherodb.com/pictures2/portraits/10/100/10396.jpg
Cogliostro,null,null,null,null,null,null,Cain,Nicholas CogliostroCogThe Count,https://www.superherodb.com/pictures2/portraits/10/100/1074.jpg
Colin Wagner,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1153.jpg
Colossal Boy,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1182.jpg
Colossus,63,83,33,100,45,80,Piotr Nikolaievitch Rasputin,PetePeter NicholasThe ProletarianLittle Brother,https://www.superherodb.com/pictures2/portraits/10/100/48.jpg
Copycat,56,10,21,25,54,60,Vanessa Carlysle,Nurse VeronicaPatricia MugginsTitaniaGarrison KaneChristina ValentinoDominoCheryl MarksDebbieMargueriteAmy,https://www.superherodb.com/pictures2/portraits/10/100/10423.jpg
Corsair,null,16,null,null,null,null,Christopher Summers,-,https://www.superherodb.com/pictures2/portraits/10/100/49.jpg
Cottonmouth,50,10,8,10,27,25,Burchell Clemens,Quincy McIver,https://www.superherodb.com/pictures2/portraits/10/100/10452.jpg
Crimson Crusader,null,58,null,null,null,null,Rory Destine,-,https://www.superherodb.com/pictures2/portraits/10/100/303.jpg
Crimson Dynamo,null,65,null,null,null,null,Anton Vanko,Krashni Denamit,https://www.superherodb.com/pictures2/portraits/10/100/1093.jpg
Crystal,63,16,12,14,61,56,Crystallia Amaquelin,CrysExquisite Elemental,https://www.superherodb.com/pictures2/portraits/10/100/305.jpg
Curse,null,null,null,null,null,null,Phillip Krahn,-,https://www.superherodb.com/pictures2/portraits/10/100/1066.jpg
Cy-Gor,null,96,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1075.jpg
Cyborg,75,53,42,85,71,64,Victor Stone,Cyberion TechnisOmegadromePlanet Cyberion,https://www.superherodb.com/pictures2/portraits/10/100/1204.jpg
Cyborg Superman,75,93,92,100,100,80,Henry Henshaw,Grandmaster of the ManhuntersHerald of the Anti-MonitorAlpha-Prime of the Alpha Lanterns,https://www.superherodb.com/pictures2/portraits/10/100/667.jpg
